Country,Code,ContinentCode,Year,Health spending per capita,Health spending as percent of GDP,Life expectancy in years,Death rate per 1000 people,Fertility rate births per woman,Prevalence of HIV percent of the population ages 15-49,Cases of Tuberculosis per 100000 people,Hospital beds per 1000 people,Nurse to hospital bed ratio,Doctors per 1000 people,Nurses per 1000 people,Dentists per 1000 people,Pharmacists per 1000 people
Saint Vincent and the Grenadines,VCT,NA,2020,,,72.66,9.38,1.85,,6.7,,,,,,
Samoa,WSM,OC,2020,,,73.45,5.19,3.79,,6.1,,,,,,
San Marino,SMR,EU,2020,,,,9.9,,,0,,,,,,
Sao Tome and Principe,STP,AF,2020,,,70.58,4.71,4.21,0.3,118,,,,,,
Saudi Arabia,SAU,AS,2020,,,75.28,3.55,2.24,0.1,8.1,,,,,,
Senegal,SEN,AF,2020,,,68.21,5.48,4.49,0.3,117,,,,,,
Serbia,SRB,EU,2020,,,74.23,16.9,1.48,0.1,13,,,,,,
Seychelles,SYC,AF,2020,,,77.24,6.8,2.29,,11,,,,,,
Sierra Leone,SLE,AF,2020,,,55.07,11.3,4.08,1.5,298,,,,,,
Singapore,SGP,AS,2020,,,83.74,5.2,1.1,0.2,46,,,,,,
Slovakia,SVK,EU,2020,,,76.87,10.8,1.57,,3.2,5.68,,,,,
Slovenia,SVN,EU,2020,,,80.53,11.4,1.6,0.1,4.1,4.28,,3.3,10.47,0.75,0.74
Solomon Islands,SLB,OC,2020,,,73.13,4.22,4.31,,65,,,,,,
Somalia,SOM,AF,2020,,,57.7,10.5,5.89,0.1,259,,,,,,
South Africa,ZAF,AF,2020,,,64.38,9.38,2.36,19.1,554,,,,1.03,,
South Korea,KOR,AS,2020,,,83.43,5.9,0.84,,49,12.65,,2.51,8.37,0.52,0.77
Spain,ESP,EU,2020,,,82.33,10.4,1.23,0.4,7.3,2.95,,4.58,6.1,,1.32
Sri Lanka,LKA,AS,2020,,,77.14,6.85,2.17,0.1,64,,,,,,
Sudan,SDN,AF,2020,,,65.53,7.05,4.29,0.2,63,,,,,,
Suriname,SUR,SA,2020,,,71.8,7.45,2.37,1.1,29,,,,,,
Swaziland,SWZ,AF,2020,,,60.72,8.88,2.92,26.8,319,,,,,,
Sweden,SWE,EU,2020,,,82.41,9.5,1.66,,3.6,2.05,,,,,
Switzerland,CHE,EU,2020,,,83.1,8.8,1.46,0.2,4.7,4.48,,4.39,18.37,,
Syria,SYR,AS,2020,,,73.65,4.83,2.73,0.1,19,,,,,,
Tajikistan,TJK,AS,2020,,,71.3,4.69,3.52,0.2,84,,,,,,
Tanzania,TZA,AF,2020,,,65.82,6.12,4.77,4.7,222,,,,,,
Thailand,THA,AS,2020,,,77.34,7.92,1.5,1,150,,,,,,
Togo,TGO,AF,2020,,,61.34,8.2,4.2,2,36,,,,,,
Tonga,TON,OC,2020,,,71.02,7.05,3.48,,10,,,,,,
Trinidad and Tobago,TTO,NA,2020,,,73.63,8.64,1.7,0.7,18,,,,,,
Tunisia,TUN,AF,2020,,,76.89,6.26,2.15,0.1,36,,,,,,
Turkey,TUR,EU,2020,,,77.93,5.48,2.04,,15,3.01,,,,,
Turkmenistan,TKM,AS,2020,,,68.31,7.04,2.7,,47,,,,,,
Tuvalu,TUV,OC,2020,,,,,,,296,,,,,,
Uganda,UGA,AF,2020,,,63.71,6.24,4.7,5.4,196,,,,,,
Ukraine,UKR,EU,2020,,,71.19,15.9,1.22,1,73,,,,,,
United Arab Emirates,ARE,AS,2020,,,78.12,1.58,1.37,0.1,0.79,,,,,,
United Kingdom,GBR,EU,2020,,,80.9,10.4,1.56,,6.9,2.43,3.16,3.03,8.46,0.54,0.85
Uruguay,URY,SA,2020,,,78.06,9.48,1.95,0.4,32,,,,,,
USA,USA,NA,2020,,,77.28,10.3,1.64,,2.4,,,,,,
Uzbekistan,UZB,AS,2020,,,71.85,5.1,2.9,0.2,66,,,,,,
Vanuatu,VUT,OC,2020,,,70.62,5.13,3.71,,38,,,,,,
Venezuela,VEN,SA,2020,,,72.07,7.22,2.23,0.5,47,,,,,,
Vietnam,VNM,AS,2020,,,75.49,6.44,2.05,0.3,176,,,,,,
Yemen,YEM,AS,2020,,,66.18,5.98,3.61,0.1,49,,,,,,
Zambia,ZMB,AF,2020,,,64.19,6.22,4.5,11.1,319,,,,,,
Zimbabwe,ZWE,AF,2020,,,61.74,7.69,3.46,11.9,193,,,,,,
