Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Moldova,MDA,EU,2017,49.48,67.133,89.46,66.44,58.49,75.84,69.5,77.6,48.04,90.53,32.85,81.88,31.23,67.75,64.37,52.76,37.92,61.96,9.49,89.12
Mongolia,MNG,AS,2017,51.32,69.832,125.91,126.71,75.37,92.27,45.72,110.47,118.36,57.6,44.734,70.59,24.95,61.89,46.16,83.76,78.17,45.12,26.01,101.25
Montenegro,MNE,EU,2017,67.81,88.123,102.31,105.94,87.45,83.13,78.27,119.59,92.69,119.52,47.978,84.03,37.68,97.47,73.7,90.41,90.75,70.3,32.07,87.25
Montserrat,MSR,NA,2017,112.43,184.936,336.08,352.72,172.06,209.46,125.3,188.15,187.36,166.51,79.029,84.54,102.06,136.59,84.58,107.81,102.6,74.32,52.1,164.32
Morocco,MAR,AF,2017,63.47,88.869,92.23,79.67,99.93,84.77,105.89,85.91,162.52,56,38.286,54.01,61.03,77.52,57.5,103.14,137.44,69.19,72.58,86.79
Mozambique,MOZ,AF,2017,49.57,77.653,69.89,84.86,73.68,107.89,83.04,74.73,87.12,39.65,31.335,67.94,43.18,58.57,43.2,109.98,86.41,57.28,39.52,112.34
Namibia,NAM,AF,2017,74.28,98.393,122.05,136.51,103.2,117.62,88.92,55.68,81.16,56.5,61.69,63.66,69.59,86.42,67.54,106.68,113.14,70.13,87.28,129.38
Nepal,NPL,AS,2017,41.85,64.251,68.45,50.82,60.03,75.83,72.13,79.54,167.11,42.02,29.9,46.08,22.07,80.58,29.76,157.08,33.51,28.16,22.81,93.3
Netherlands,NLD,EU,2017,137.57,115.836,123.88,142.88,107.24,97.42,151.27,147.01,88.44,134.51,182.267,122.35,142.84,154.57,141.25,130.32,144.37,113.8,153.47,96.12
New Zealand,NZL,OC,2017,160.18,163.691,152.59,215.78,152.28,161.52,163.59,147.01,138.84,125.14,236.631,137.64,118.85,139.05,140.97,111.76,168.49,123.75,122.28,101.11
Nicaragua,NIC,NA,2017,54.99,78.581,55.01,97.87,99.58,81.71,65.3,87.17,114.47,54.76,40.516,50.22,33.6,56.18,56.13,96.75,101.1,58.43,32.38,96.02
Niger,NER,AF,2017,60.37,96.792,66.33,78.11,108.4,138.38,82.03,118.3,108.51,51.02,39.977,54.94,55.68,71.15,49.29,142.28,86.96,48.71,53.92,131.86
Nigeria,NGA,AF,2017,52.55,84.436,54.37,85.15,123.31,86.59,62.43,72.17,63.87,32.29,51.963,36.25,35.8,67.47,39,113.58,59.28,40.96,58.91,139.28
North Macedonia,MKD,EU,2017,58.3,70.633,53.94,85.23,68.31,69.97,75.88,91.86,64.44,99.54,50.905,70.52,31.26,82.59,53.86,96.66,69.13,54.54,27.84,85.25
Norway,NOR,EU,2017,186.52,187.477,160.63,249.2,200.57,173.17,196.65,161.19,228.77,174.6,211.697,150.43,198.81,194.38,206.57,150.24,139.76,171.39,256.97,110.82
Oman,OMN,AS,2017,78.88,97.292,124.23,101.45,100.82,93.99,107.68,69.13,188.74,73.31,79.93,69.3,81.5,69.95,58.29,91.22,115.29,83.01,108.92,99.95
Pakistan,PAK,AS,2017,45.2,70.188,98.18,58.56,64.92,97.13,63.39,67.05,,51.59,32.722,54.04,31.71,61.54,41.76,84.05,44.05,41.39,31.55,99.59
Panama,PAN,NA,2017,72.83,111.213,109.46,171.71,123.81,131.18,88.78,112.35,101.29,92.19,41.884,72.96,88.8,54.9,80.55,88.91,60.43,75.44,56.02,111.25
Paraguay,PRY,SA,2017,65.46,83.414,82.52,121.28,107.5,85.73,57.03,102.31,87.3,97.28,41.299,69.05,52.8,82.05,60.5,118.74,143.07,80.76,37.12,123.7
Peru,PER,SA,2017,83.26,100.45,92.01,104.47,114.69,114.76,83.38,115.74,128.5,108,88.872,85.28,59.47,73.68,72.12,89.93,106.37,80.48,76.45,100.92
Philippines,PHL,AS,2017,55.15,79.097,90.86,101.12,82.39,108.05,66.79,58.39,86.06,74.18,42.287,56.74,47.07,70.84,48.52,94.24,87.35,44.47,43.15,108.13
Poland,POL,EU,2017,70.08,76.523,79.49,94.39,78.38,67.68,75.91,99.47,75.77,124.39,54.5,81.21,48.62,93.44,92.4,90.48,51.3,66.71,53.04,81.64
Portugal,PRT,EU,2017,106.46,111.797,112.79,126.19,115.15,107.55,104.09,138.66,89.74,135.37,110.062,115.75,89.41,123.44,96.82,119.13,131.18,100.03,91.99,103.13
Qatar,QAT,AS,2017,113.61,116.248,144.99,121.65,120.79,107.29,121.34,106.1,152.86,111.75,139.451,96.59,92.45,75.34,94.27,90.04,144.34,104.13,187.01,99.48
Republic of the Congo,COG,AF,2017,70.42,119.386,93.57,144.74,140.3,126.63,100.55,111.93,90.98,68.36,38.835,58.77,54.25,80.66,69.2,136.6,113.49,65.35,36.01,168.58
Romania,ROU,EU,2017,63.98,73.693,60.88,75.22,63.65,89.28,76.68,100.84,66.1,102.87,59.22,81.03,32.88,87.59,66.04,89.15,56.75,64.15,34.44,88
Russia,RUS,EU,2017,61.96,78.411,84.83,74.88,64.32,89.16,87.12,84.74,63.38,99.91,54.561,78.81,34.94,71.51,80.01,79.9,34.81,67.85,28.08,79.67
Rwanda,RWA,AF,2017,50.63,62.541,56.78,43.41,101.63,129.7,47.04,110.23,109.52,39.53,53.795,50.47,45.27,71.79,53.87,115.39,57.04,50.1,31.01,138.27
Saint Lucia,LCA,NA,2017,110.38,139.764,149.21,199.35,154.95,176.4,138.68,75.24,186.05,108.71,58.936,104.7,95.59,140.23,113.97,103.55,188.56,132.36,81.54,169.42
Saint Vincent and the Grenadines,VCT,NA,2017,95.93,139.633,163.31,212.22,159.19,154.2,93.11,91.89,199.69,93.95,54.867,98.28,72.38,112.22,131.16,162.2,166.52,78.13,72.29,112.34
Sao Tome and Principe,STP,AF,2017,70.92,111.526,86.43,153.26,97.54,144.81,127.71,114.16,90.86,77.45,52.307,71.66,38.33,91.19,57.25,154.82,93.06,72.31,33.37,123.02
Saudi Arabia,SAU,AS,2017,65.89,99.678,140.45,96.13,91.13,97.34,102.99,87.65,,79.88,41.596,74.31,67.05,54.97,60.33,78.95,110.78,79.49,84.65,83.84
Senegal,SEN,AF,2017,58.75,91.552,90.72,83.54,105.38,128.49,77.17,71.64,109.39,37.44,41.712,45.96,42.36,75.25,70.55,140.95,98.34,56.8,43.24,126.94
Serbia,SRB,EU,2017,64.05,86.232,92.82,99.42,80.34,84.31,81.34,120.18,73.02,117.53,47.517,82.2,32.92,98.5,63.25,91.92,72.23,64.5,24.03,91.81
Seychelles,SYC,AF,2017,94.81,120.276,129.52,183.38,127.42,129.12,112.35,102.61,223.31,84.61,66.923,72.99,66.34,85.56,160.02,181.37,129.03,86.63,53.58,133.26
