Country,Code,ContinentCode,Year,Population size in millions,Population density people per square km,Population ages 65 and above percent of total,Population ages 0-14 percent of total,Female population percent of total,Refugee population,Migrant population percent of total population,Population growth percent
Singapore,SGP,AS,2020,5.69,8019,13.35,12.3,47.66,,,-0.31
Slovakia,SVK,EU,2020,5.46,114,16.7,15.55,51.31,1006,,0.09
Slovenia,SVN,EU,2020,2.1,104,20.74,15.14,50.2,823,,0.67
Solomon Islands,SLB,OC,2020,0.69,25,3.67,40.03,49.15,,,2.51
Somalia,SOM,AF,2020,15.89,25,2.9,46.15,50.14,11220,,2.87
South Africa,ZAF,AF,2020,59.31,49,5.51,28.8,50.74,76729,,1.27
South Korea,KOR,AS,2020,51.84,532,15.79,12.54,49.94,3443,,0.14
Spain,ESP,EU,2020,47.36,95,19.98,14.4,50.85,103624,,0.48
Sri Lanka,LKA,AS,2020,21.92,354,11.23,23.68,52.05,1008,,0.53
Sudan,SDN,AF,2020,43.85,24,3.67,39.8,50.04,1040288,,2.39
Suriname,SUR,SA,2020,0.59,4,7.13,26.67,49.74,19,,0.9
Swaziland,SWZ,AF,2020,1.16,67,4.01,37.44,50.85,945,,1.04
Sweden,SWE,EU,2020,10.35,25,20.33,17.62,49.91,248372,,0.72
Switzerland,CHE,EU,2020,8.64,219,19.1,14.96,50.39,115798,,0.71
Syria,SYR,AS,2020,17.5,95,4.87,30.77,49.94,584034,,2.49
Tajikistan,TJK,AS,2020,9.54,69,3.18,37.27,49.61,5578,,2.3
Tanzania,TZA,AF,2020,59.73,67,2.64,43.55,50.03,234645,,2.94
Thailand,THA,AS,2020,69.8,137,12.96,16.55,51.34,96179,,0.25
Togo,TGO,AF,2020,8.28,152,2.91,40.64,50.24,10798,,2.4
Tonga,TON,OC,2020,0.11,147,5.92,34.77,49.95,,,1.14
Trinidad and Tobago,TTO,NA,2020,1.4,273,11.51,20.06,50.63,3179,,0.32
Tunisia,TUN,AF,2020,11.82,76,8.87,24.29,50.41,2580,,1.05
Turkey,TUR,EU,2020,84.34,110,8.98,23.94,50.63,3652362,,1.08
Turkmenistan,TKM,AS,2020,6.03,13,4.77,30.79,50.77,20,,1.49
Tuvalu,TUV,OC,2020,0.01,393,,,,,,1.17
Uganda,UGA,AF,2020,45.74,228,1.99,46.02,50.71,1421133,,3.27
Ukraine,UKR,EU,2020,44.13,76,16.95,15.99,53.67,2249,,-0.57
United Arab Emirates,ARE,AS,2020,9.89,139,1.26,14.81,30.88,1315,,1.22
United Kingdom,GBR,EU,2020,67.08,277,18.65,17.68,50.59,132304,,0.37
Uruguay,URY,SA,2020,3.47,20,15.09,20.34,51.68,664,,0.35
USA,USA,NA,2020,331.5,36,16.63,18.37,50.52,340846,,0.96
Uzbekistan,UZB,AS,2020,34.23,78,4.79,28.8,50.11,13,,1.92
Vanuatu,VUT,OC,2020,0.31,25,3.61,38.41,49.31,,,2.39
Venezuela,VEN,SA,2020,28.44,32,7.97,27.26,50.82,68089,,-0.28
Vietnam,VNM,AS,2020,97.34,314,7.87,23.19,50.07,,,0.9
Yemen,YEM,AS,2020,29.83,56,2.93,38.83,49.62,166906,,2.25
Zambia,ZMB,AF,2020,18.38,25,2.13,44.02,50.48,66070,,2.89
Zimbabwe,ZWE,AF,2020,14.86,38,3.01,41.91,52.28,9261,,1.47
