Country,Code,ContinentCode,Year,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) 
Iran,IRN,AS,2021,-0.95,-0.86,-1.1,-1.62,-1.47,-1.62,25,,
Iraq,IRQ,AS,2020,-1.78,-1.28,-1.32,-1.32,-1.01,-2.46,21,5,6
Iraq,IRQ,AS,2021,-1.73,-1.29,-1.25,-1.11,-0.96,-2.4,23,,
Ireland,IRL,EU,2020,1.49,1.47,1.56,1.48,1.39,0.98,72,1,1
Ireland,IRL,EU,2021,1.53,1.5,1.65,1.56,1.43,0.86,74,,
Israel,ISR,AS,2020,0.97,1.09,0.56,1.24,0.65,-0.85,60,2,3
Israel,ISR,AS,2021,0.94,1.29,0.86,1.21,0.68,-1.06,59,,
Italy,ITA,EU,2020,0.24,0.39,0.54,0.5,1.06,0.43,53,1,1
Italy,ITA,EU,2021,0.27,0.36,0.54,0.55,1.1,0.58,56,,
Ivory Coast,CIV,AF,2020,-0.63,-0.51,-0.53,-0.37,-0.53,-1.03,36,4,4
Ivory Coast,CIV,AF,2021,-0.63,-0.5,-0.37,-0.26,-0.47,-0.95,36,,
Jamaica,JAM,NA,2020,-0.21,0.56,-0.02,0.06,0.63,0.26,44,2,2
Jamaica,JAM,NA,2021,-0.17,0.41,-0.03,0.2,0.63,0.22,44,,
Japan,JPN,AS,2020,1.51,1.59,1.49,1.36,0.99,1.04,74,1,1
Japan,JPN,AS,2021,1.58,1.4,1.57,1.38,1.08,1.03,73,,
Jordan,JOR,AS,2020,0.22,0.13,0.06,0.27,-0.75,-0.27,49,5,5
Jordan,JOR,AS,2021,0.21,0.23,0.05,0.15,-0.8,-0.28,49,,
Kazakhstan,KAZ,AS,2020,-0.44,0.14,-0.36,0.12,-1.18,-0.26,38,7,5
Kazakhstan,KAZ,AS,2021,-0.49,0.06,-0.24,0.09,-1.14,-0.25,37,,
Kenya,KEN,AF,2020,-0.55,-0.4,-0.86,-0.5,-0.35,-1,31,4,4
Kenya,KEN,AF,2021,-0.39,-0.33,-0.71,-0.45,-0.37,-1.09,30,,
Kiribati,KIR,OC,2020,1.02,0.04,0.47,-0.52,1.13,1.09,,1,1
Kiribati,KIR,OC,2021,0.89,-0.01,0.28,-0.48,1.1,1.19,,,
Kuwait,KWT,AS,2020,0.33,-0.16,-0.07,0.29,-0.68,0.25,42,5,5
Kuwait,KWT,AS,2021,0.26,-0.04,-0.03,0.17,-0.7,0.3,43,,
Kyrgyzstan,KGZ,AS,2020,-0.94,-0.53,-1.1,-0.4,-0.59,-0.46,31,5,4
Kyrgyzstan,KGZ,AS,2021,-1.07,-0.73,-1.12,-0.58,-0.61,-0.43,27,,
Laos,LAO,AS,2020,-0.86,-0.75,-1.07,-0.82,-1.79,0.68,29,7,6
Laos,LAO,AS,2021,-0.64,-0.62,-1.04,-0.89,-1.68,0.73,30,,
